borrower_id,age,location,employment_type,borrower_type,credit_score,traditional_payment_history_pct,credit_inquiries,utility_on_time_pct,rent_avg_days_late,mobile_disconnects,avg_bank_balance,overdraft_events,job_tenure_months,monthly_income,income_fluctuation_pct,existing_debt,is_default
B_000010,28,Urban,Unemployed,Traditional,617.2892638191762,85.50274730779738,0.0,6.950140569696419,7.261159564873982,2,1629.43,0,95.0,814.86,8.38,1072.82,1
B_000011,28,Rural,Salaried,Traditional,679.7623750142276,57.9764067751659,4.0,83.42776016876171,2.4577101824164393,0,1384.4,0,68.0,2931.31,0.58,2463.23,0
B_000012,41,Urban,Gig Worker,Traditional,555.5091855620846,76.62934702114961,4.0,75.70236394891921,15.461886681620282,1,205.6,1,1.0,13401.9,45.25,836.09,1
B_000013,53,Urban,Salaried,Traditional,580.2057107982325,69.1883562291729,1.0,68.83836238202346,2.4362178827582808,0,3099.05,1,147.0,3654.97,2.86,1036.44,0
B_000014,57,Urban,Self-Employed,Thin File,,,,93.89510841000926,8.370276136464021,0,594.16,1,7.0,2890.26,17.59,1348.0,1
B_000015,41,Urban,Salaried,Traditional,669.7859964468868,92.84035103980082,1.0,74.79946170794621,7.694650149873448,2,1146.9,1,48.0,1598.51,5.96,2440.34,1
B_000016,20,Urban,Unemployed,Traditional,695.2185227405358,67.45567630910234,1.0,57.75128846356415,0.8160938585150047,1,1284.88,1,7.0,19120.43,15.94,355.22,0
B_000017,39,Urban,Salaried,Traditional,676.3965172533512,42.12680979356236,3.0,68.1759396697905,,1,2457.52,3,3.0,1225.72,4.6,115.55,0
B_000018,19,Urban,Salaried,Thin File,,,,70.26699061451357,6.127918228224937,1,1167.69,2,209.0,2509.8,0.68,385.76,0
B_000019,41,Urban,Salaried,Thin File,,,,72.90135492312852,0.9298372849359013,0,1703.5,1,79.0,8868.06,3.81,1002.36,1
B_000020,61,Suburban,Salaried,Traditional,649.673628041018,70.36715270708662,3.0,54.966611794069934,1.419621800231422,1,794.61,0,3.0,4392.13,0.1,2675.24,0
B_000021,47,Rural,Self-Employed,Traditional,688.0905428289208,89.15782821057317,2.0,86.27164729611886,2.03524778011718,5,309.16,0,21.0,7005.29,27.48,6488.82,1
B_000022,55,Urban,Salaried,Traditional,761.5964034008264,69.97628800794861,0.0,85.18908986088123,,1,490.0,1,14.0,1429.04,4.26,5270.17,0
B_000023,19,Urban,Self-Employed,Thin File,,,,70.57141438002385,4.481506716735807,0,1398.91,1,1.0,2543.08,25.67,1757.44,1
B_000024,38,Urban,Unemployed,Traditional,734.7782686908997,87.3651819506663,2.0,77.65206448456792,5.66020805478747,0,160.28,2,30.0,2425.8,6.12,1142.27,0
B_000025,50,Urban,Gig Worker,Traditional,711.6836771521773,96.02784383593105,1.0,74.33905460564402,,0,8446.96,2,31.0,1996.88,1.46,1345.97,0
B_000026,29,Suburban,Gig Worker,Traditional,656.7667538525884,79.28006974533935,5.0,75.49161655182728,,1,7757.01,2,19.0,1294.48,48.05,2465.84,1
B_000027,39,Suburban,Salaried,Traditional,688.8700639105562,73.26059978139774,2.0,71.4688097227618,6.677475782285502,1,1397.23,0,62.0,6497.17,4.29,1411.21,0
B_000028,61,Urban,Salaried,Traditional,807.9137691353661,89.38013080393945,1.0,71.04827407429745,,1,560.72,0,24.0,509.12,4.66,453.46,0
B_000029,42,Urban,Salaried,Traditional,699.4462636030371,70.93174074483981,2.0,85.50669272714731,0.4853954969332145,0,383.0,0,5.0,3710.93,3.73,3616.64,0
B_000030,66,Urban,Salaried,Traditional,601.1183180663144,91.21036782933774,2.0,52.74207818700496,3.940132756797114,0,996.11,2,16.0,4595.02,0.23,2460.35,1
B_000031,44,Suburban,Gig Worker,Thin File,,,,76.20767659860775,7.82579024775857,0,841.98,0,10.0,2977.22,6.81,4023.87,0
B_000032,59,Urban,Salaried,Traditional,510.8602200213756,84.64930488274666,3.0,48.81737118266273,4.53522486992929,1,499.81,1,92.0,9082.31,8.6,5833.48,1
B_000033,45,Rural,Gig Worker,Traditional,690.9918965402304,91.24007446227625,2.0,63.36922560105521,,2,3168.28,1,54.0,3052.12,22.41,1009.48,1
B_000034,33,Suburban,Salaried,Traditional,784.9649875026251,81.24554189783427,0.0,83.54652741624167,7.54592260839014,0,1142.62,1,1.0,3430.44,8.92,209.49,0
B_000035,32,Urban,Gig Worker,Thin File,,,,88.31468266258855,13.479361782469608,1,2608.14,1,34.0,2055.59,27.26,144.59,0
B_000036,64,Suburban,Salaried,Traditional,691.9786187606439,92.01980479749032,4.0,76.74086668722941,8.37818365624793,1,844.79,0,28.0,1911.33,5.07,1494.02,0
B_000037,68,Rural,Salaried,Traditional,758.834544469543,64.9365606423554,5.0,73.23628462431707,2.927969404541455,1,1084.58,0,15.0,1047.18,0.07,5280.14,0
B_000038,61,Suburban,Self-Employed,Traditional,767.2910906557188,83.97471603441342,1.0,61.15829369274647,1.6907945531556188,0,717.4,1,23.0,1943.55,36.85,635.68,0
B_000039,69,Urban,Salaried,Traditional,782.3840937820665,78.32038396467021,3.0,69.23645124325688,0.04987475905513929,0,2469.84,1,20.0,4277.29,6.31,5858.1,0
B_000040,20,Urban,Self-Employed,Traditional,530.5396934923597,76.37748946458449,3.0,60.96646215166109,2.394839335384649,1,10047.08,1,161.0,2852.3,1.64,153.04,0
B_000041,54,Rural,Salaried,Traditional,720.3944763689448,89.82830458866037,0.0,84.42728408851113,,1,2368.69,0,1.0,3044.58,0.05,210.2,0
B_000042,68,Suburban,Salaried,Thin File,,,,62.01794465864926,5.3169644249875585,0,4737.59,0,40.0,1382.71,6.25,41.83,0
B_000043,24,Suburban,Gig Worker,Thin File,,,,79.75282123424626,2.472992399248974,2,24283.28,1,1.0,2787.98,29.35,441.22,0
B_000044,38,Rural,Salaried,Thin File,,,,64.49428200608963,8.13106712507709,0,1741.57,1,31.0,2768.71,8.85,953.74,0
B_000045,26,Rural,Self-Employed,Traditional,692.6437697481293,84.60836436290472,3.0,59.41624514276429,27.184061802877757,0,135.92,1,15.0,2330.38,9.36,511.53,1
B_000046,56,Rural,Salaried,Traditional,738.10688593915,55.64458749982333,2.0,71.58367981413694,7.776566951664989,0,174.97,0,18.0,1827.72,2.14,738.93,0
B_000047,35,Urban,Self-Employed,Traditional,605.6706716158641,81.61190631654809,1.0,75.25548764900667,7.339882945636243,0,1727.73,1,21.0,7806.45,28.57,1696.87,1
B_000048,21,Suburban,Salaried,Thin File,,,,71.36799315091565,3.0974870205398846,0,166.05,0,34.0,3331.8,6.88,3820.31,0
B_000049,42,Suburban,Salaried,Traditional,735.0667147072841,77.85668752052614,1.0,93.26015212527307,2.4732186268448624,0,920.66,0,30.0,5630.84,9.92,689.87,1
B_000050,31,Suburban,Salaried,Thin File,,,,81.53548951520331,0.5156542251590586,0,235.29,1,40.0,1872.36,9.15,7376.17,0
B_000051,67,Suburban,Salaried,Traditional,593.5866579107891,80.08383786017197,0.0,59.27472568573931,4.683455929721239,1,979.16,0,57.0,2481.61,7.89,346.99,0
B_000052,26,Urban,Salaried,Traditional,773.7120992170095,89.20197980527401,2.0,82.5897846385842,1.917905149657333,0,2515.0,3,18.0,1618.22,8.83,584.6,1
B_000053,43,Suburban,Self-Employed,Traditional,654.7070738687678,91.79098805433338,1.0,60.75526246301497,3.3544723483756558,1,934.86,1,20.0,2031.44,25.13,4785.63,0
B_000054,19,Suburban,Self-Employed,Thin File,,,,76.93527088929787,3.694926106328977,0,1869.58,0,19.0,1524.81,20.19,86.81,0
B_000055,37,Urban,Salaried,Traditional,730.037083203653,91.26347904593078,3.0,50.23363075880096,3.849551295348546,0,10786.32,0,8.0,2197.91,1.0,1597.85,0
B_000056,45,Urban,Salaried,Thin File,,,,82.6711818905283,2.4402150405728436,1,1689.81,1,17.0,6283.05,5.76,214.21,0
B_000057,64,Urban,Salaried,Traditional,612.254492179413,60.00579954084279,0.0,82.3395577446857,2.4274490013474708,0,3905.13,1,30.0,2273.12,3.66,362.64,1
B_000058,24,Urban,Salaried,Traditional,844.5040808154016,87.34417032049505,5.0,57.2311971226235,0.512584082255362,1,8817.6,1,16.0,9351.07,8.58,241.78,0
B_000059,61,Urban,Salaried,Traditional,825.148046111182,92.1132223355027,4.0,73.79185476692507,2.340938859555073,0,4792.23,3,7.0,2030.86,1.25,315.64,0
B_000060,25,Urban,Salaried,Traditional,728.4028112649415,64.3214472207508,1.0,66.3579465511665,7.734718371891233,0,1283.71,0,27.0,3579.46,7.8,489.44,0
B_000061,64,Suburban,Unemployed,Traditional,714.432273818535,79.58347298337564,0.0,59.14916131235387,1.9756043209621534,0,21840.0,0,10.0,6421.21,43.37,709.68,0
B_000062,52,Suburban,Self-Employed,Traditional,706.3828981008237,87.09605848570278,3.0,82.3785192680917,2.985123011183988,1,1705.21,0,10.0,1356.88,17.55,849.25,0
B_000063,31,Suburban,Salaried,Traditional,556.0002699185063,85.38055186341496,2.0,73.42546333155579,,1,602.35,1,10.0,2990.92,8.08,1383.65,0
B_000064,34,Rural,Salaried,Traditional,689.024591033717,87.1771556499669,4.0,78.59131438584589,7.228098935828551,0,562.02,0,1.0,8898.69,5.72,546.97,0
B_000065,53,Urban,Self-Employed,Traditional,687.9633265516599,91.94753282695616,2.0,63.28092851677152,2.293412929712609,1,2150.79,3,46.0,2356.52,39.64,1702.69,1
B_000066,67,Urban,Salaried,Traditional,633.9190651009295,66.97687930624261,3.0,48.10530019841446,0.9305822496385778,0,763.68,2,32.0,3905.9,4.78,1883.22,1
B_000067,57,Rural,Gig Worker,Traditional,655.2520662398732,59.69831823562165,2.0,88.60592751042175,0.17638662349170964,0,732.73,2,11.0,1122.06,13.31,1629.06,1
B_000068,21,Urban,Gig Worker,Thin File,,,,82.48389460171363,,2,377.92,0,75.0,3025.82,26.02,1185.93,1
B_000069,19,Rural,Salaried,Traditional,592.2181655900007,85.97595193571573,2.0,80.78241916693275,,1,2592.61,0,17.0,3449.79,0.63,1381.47,0
B_000070,23,Rural,Salaried,Thin File,,,,87.19985897963474,2.9410094681400545,0,671.16,0,111.0,2422.79,1.74,622.31,0
B_000071,59,Suburban,Gig Worker,Thin File,,,,86.91825329460713,1.9500641447711424,0,2287.96,2,40.0,7923.97,33.64,777.46,0
B_000072,21,Rural,Unemployed,Thin File,,,,49.11787057969083,,1,1748.04,1,29.0,1610.21,10.32,3739.82,0
B_000073,46,Urban,Salaried,Traditional,694.6278923980751,76.46133904879903,2.0,58.2376042283523,6.751448221742442,0,13204.08,2,142.0,3170.29,1.75,1000.35,0
B_000074,35,Urban,Self-Employed,Thin File,,,,59.485533786572674,7.471966688340661,0,76.7,0,30.0,7672.33,16.42,670.7,1
B_000075,43,Suburban,Salaried,Traditional,638.3827979284197,89.33449474226995,1.0,64.47200112535869,,0,1099.02,0,27.0,1971.84,8.19,331.25,0
B_000076,61,Urban,Salaried,Thin File,,,,67.28239671363437,,1,299.64,1,17.0,9375.53,7.75,2992.43,1
B_000077,51,Rural,Self-Employed,Thin File,,,,81.33627502700459,0.8209557359287745,1,639.32,0,33.0,1037.28,30.3,2640.34,0
B_000078,27,Urban,Gig Worker,Thin File,,,,57.012294824612376,2.5936741012574753,2,451.54,1,5.0,3199.91,11.16,2106.05,1
B_000079,53,Suburban,Self-Employed,Thin File,,,,45.00456839802976,2.441718017237889,1,4038.99,2,9.0,2255.28,5.48,316.96,0
B_000080,31,Suburban,Gig Worker,Thin File,,,,74.06462002303246,3.921307685360658,1,2836.61,0,62.0,3581.56,3.39,1684.04,0
B_000081,48,Suburban,Salaried,Traditional,702.3631335154249,92.7940105843325,1.0,88.63057141807518,,0,2152.83,1,37.0,4496.98,4.01,818.36,0
B_000082,65,Urban,Salaried,Traditional,687.696487992035,78.05023751493415,2.0,78.64575524430425,2.2197833659808826,0,5559.02,1,26.0,3062.53,1.71,1945.01,0
B_000083,32,Urban,Salaried,Traditional,675.4940882805336,65.48390097996467,2.0,79.26027581904879,13.476293544857542,0,5805.03,0,11.0,2404.81,6.39,3603.53,0
B_000084,25,Rural,Salaried,Traditional,726.0667328163586,89.00071681063974,2.0,81.39145526444456,9.247754753462246,0,3940.97,1,4.0,1847.46,3.63,152.05,0
B_000085,31,Urban,Self-Employed,Thin File,,,,63.62822220911968,0.6357535092454749,1,2069.92,0,109.0,3330.46,24.96,879.29,0
B_000086,40,Rural,Salaried,Traditional,570.4451510702858,91.05785031344355,2.0,79.00832629326841,0.22685696791204105,0,755.18,0,17.0,1033.91,2.65,3403.33,0
B_000087,57,Suburban,Gig Worker,Thin File,,,,72.71901155978418,4.29054521758417,0,1927.55,0,47.0,5644.07,7.26,39989.35,0
B_000088,38,Suburban,Gig Worker,Thin File,,,,72.7994127547521,9.93323495812056,1,19903.13,0,22.0,1470.08,44.93,558.37,0
B_000089,33,Suburban,Salaried,Traditional,657.3002255153672,72.02883169477595,1.0,68.80577276104674,3.9743933280598003,2,6048.46,1,31.0,3676.45,8.4,305.66,0
B_000090,62,Urban,Salaried,Traditional,781.5236569083102,97.00352733399887,1.0,85.84449433069392,1.9950178348063206,0,470.58,0,84.0,4511.97,2.53,105.6,1
B_000091,35,Suburban,Self-Employed,Traditional,741.6333797439368,89.9025680303584,2.0,83.46378914418301,,1,124.94,1,44.0,14788.3,32.06,11656.93,1
B_000092,64,Rural,Unemployed,Traditional,722.6591895324343,66.24958543202285,0.0,65.20883376410319,0.0024533126292570857,0,322.55,2,5.0,1763.02,14.21,1355.07,0
B_000093,41,Urban,Self-Employed,Traditional,697.7599675703449,88.29334871153392,1.0,76.54185549914752,0.42887186171263403,0,119.75,0,24.0,1304.25,8.32,227.27,0
B_000094,43,Rural,Salaried,Traditional,645.2649235427556,92.3422927428522,3.0,74.9056884525662,,1,356.4,0,100.0,4139.32,7.28,2804.88,0
B_000095,42,Urban,Salaried,Traditional,611.6843874573244,82.19343464616264,2.0,71.87428574316228,0.48852332425617173,0,1611.53,1,61.0,2335.26,4.92,262.21,0
B_000096,62,Urban,Salaried,Traditional,584.2274063446383,84.52944758732725,1.0,53.21028604468738,3.701846902511521,0,1437.29,2,13.0,2966.74,2.53,2110.4,0
B_000097,58,Urban,Salaried,Traditional,624.439451962346,86.94127874488788,1.0,83.96895381808626,1.684913300771501,1,8559.73,0,58.0,439.19,3.61,572.35,0
B_000098,46,Rural,Gig Worker,Traditional,676.5662409311209,69.0785759458889,1.0,37.865486587257536,15.865679344637654,0,1699.65,1,1.0,1880.79,5.85,1408.71,0
B_000099,32,Urban,Gig Worker,Traditional,587.6012639853867,82.91301059851466,3.0,75.30401960180585,7.654564849081067,1,1521.5,2,57.0,2006.26,17.39,2452.48,0
B_000100,62,Rural,Salaried,Traditional,693.5615806189287,98.47359241202318,1.0,96.2997318716971,1.1437055649949466,0,1082.05,0,61.0,3279.54,8.08,2047.19,0
B_000101,18,Rural,Salaried,Traditional,664.4449498211484,87.86476581620619,2.0,78.59140846579828,2.1804119988223385,0,20816.82,0,26.0,1248.34,1.96,141.81,0
B_000102,42,Urban,Salaried,Traditional,648.2161270765438,92.377131792982,1.0,75.37665963050927,,0,2775.76,1,1.0,2571.9,6.86,3582.04,0
B_000103,24,Urban,Gig Worker,Thin File,,,,75.26112468807543,0.9416652922455842,2,3653.07,1,11.0,6398.89,31.31,370.71,0
B_000104,26,Suburban,Salaried,Traditional,483.1505102221815,61.91639644298774,2.0,73.72676347740571,6.049479491296831,1,2219.05,1,30.0,1617.62,0.05,277.6,0
B_000105,41,Urban,Self-Employed,Traditional,649.3016363772056,76.6352594367406,3.0,77.85957502738707,4.136533054913628,1,12197.65,1,18.0,3038.12,26.25,306.16,0
B_000106,18,Suburban,Salaried,Thin File,,,,69.7122977552298,4.008555712979954,1,45.64,3,33.0,1767.81,2.59,156.45,0
B_000107,61,Urban,Self-Employed,Traditional,699.0850138343554,58.418003903950385,2.0,82.46440374073319,4.947534726291219,0,938.68,0,59.0,18296.57,17.78,18177.92,0
B_000108,25,Urban,Salaried,Thin File,,,,69.64055797018622,2.3159826191424755,0,30067.66,2,11.0,3326.47,2.73,613.92,1
B_000109,41,Suburban,Salaried,Traditional,571.9115036628958,97.158734065641,2.0,81.34510682587891,4.937880924615942,0,154.69,1,8.0,8301.92,3.32,188.68,0
B_000110,28,Urban,Self-Employed,Thin File,,,,50.264429916927966,,0,3468.92,1,40.0,4430.98,30.11,3961.52,1
B_000111,68,Urban,Salaried,Thin File,,,,43.00833119623683,,1,783.62,0,49.0,1201.82,3.07,293.27,0
B_000112,34,Urban,Salaried,Traditional,685.0913594170535,90.7662651906332,2.0,65.29459821238225,2.95138624198208,0,4100.6,2,33.0,343.97,3.97,784.32,1
B_000113,25,Urban,Salaried,Traditional,652.7369379036778,84.9209126698275,2.0,73.14614244226892,0.4220277743700395,1,4086.26,0,10.0,3658.67,4.11,2630.13,0
B_000114,52,Suburban,Salaried,Traditional,657.7076215686725,82.24897669716441,1.0,69.62481494694292,0.09876608036268247,1,2798.83,0,8.0,1030.26,8.03,693.22,0
B_000115,52,Rural,Salaried,Traditional,650.5622688411295,64.57573488410685,1.0,72.73568325755684,1.831429652260867,0,4164.28,1,107.0,3606.83,4.89,1863.32,0
B_000116,50,Urban,Self-Employed,Thin File,,,,58.601108279935175,0.15413603922664282,1,272.14,0,42.0,1737.8,18.6,746.98,0
B_000117,22,Suburban,Gig Worker,Thin File,,,,42.68235588446549,15.888624942354717,0,876.21,1,64.0,960.02,26.09,533.62,1
B_000118,59,Suburban,Salaried,Traditional,701.7872544105302,81.52231845435645,0.0,69.059725777206,0.08612123921986249,1,3659.13,1,65.0,2937.11,4.6,1153.75,0
B_000119,56,Urban,Salaried,Traditional,585.2269170577916,89.83701599056947,2.0,67.56515651000353,15.093589455937293,0,17508.95,4,24.0,3581.04,9.27,588.72,0
B_000120,58,Urban,Salaried,Traditional,623.9562547333999,94.20500385955629,1.0,71.44787552623602,,1,2795.0,2,58.0,1755.75,0.61,2000.93,1
B_000121,45,Rural,Salaried,Traditional,610.2344980426019,89.25895094676584,4.0,60.20594800796607,0.5649815815553163,0,6625.69,0,31.0,3318.76,1.86,596.41,1
B_000122,24,Suburban,Salaried,Thin File,,,,45.45093664998787,1.4669172127368812,0,66.09,1,22.0,2765.86,8.09,258.02,0
B_000123,26,Suburban,Self-Employed,Traditional,736.8975418146292,89.69909522591672,2.0,50.54502084676131,19.068365191779396,0,519.97,0,17.0,1650.34,14.2,4652.92,0
B_000124,25,Suburban,Salaried,Traditional,669.8808434461957,89.93392391471829,1.0,79.51489025541757,0.021109916799317792,0,810.81,0,31.0,7927.79,1.19,1977.28,0
B_000125,29,Urban,Salaried,Traditional,816.5776947963087,66.27760388213787,2.0,79.27058926015803,0.11510304099115984,0,618.32,1,7.0,9800.29,4.05,318.84,0
B_000126,51,Suburban,Gig Worker,Thin File,,,,83.16140493228856,10.809182519948685,0,1219.14,1,1.0,1037.41,14.15,234.08,1
B_000127,50,Suburban,Gig Worker,Thin File,,,,65.95256167433826,3.4147043783863174,1,5325.27,1,48.0,4883.0,40.6,1684.13,0
B_000128,65,Suburban,Unemployed,Traditional,647.1547742300952,94.51765208166663,0.0,72.90431341821244,,2,3475.47,0,41.0,4073.23,43.68,1251.4,0
B_000129,40,Urban,Gig Worker,Thin File,,,,90.04245913200884,,1,3977.6,0,3.0,3205.02,6.12,2472.4,0
B_000130,41,Urban,Gig Worker,Traditional,603.7802723224855,89.07013843332214,1.0,65.84095796829772,2.6360727841235154,2,2195.12,2,28.0,13331.03,48.42,40.55,0
B_000131,54,Urban,Salaried,Traditional,818.717955877373,74.53965911866322,0.0,42.48341881085736,,1,841.47,0,59.0,1294.48,7.95,836.12,0
B_000132,52,Rural,Salaried,Traditional,599.4869997552898,94.1979911403027,1.0,76.97815684034501,9.548911562937958,1,974.5,0,5.0,3189.62,3.99,8546.88,0
B_000133,61,Urban,Salaried,Traditional,749.4643452341952,87.89353480443425,4.0,82.12838074784179,0.13925183756416012,1,338.51,0,90.0,5174.05,3.59,161.61,1
B_000134,57,Urban,Self-Employed,Traditional,735.2434504727064,77.2029958209155,1.0,77.60539469290984,,0,1225.0,2,19.0,1196.24,22.39,215.99,0
B_000135,39,Urban,Gig Worker,Thin File,,,,70.3230969698976,7.431068202789531,1,273.07,0,2.0,856.4,2.9,3124.46,0
B_000136,44,Urban,Salaried,Traditional,824.803608293156,94.09856192525463,1.0,57.377921651734965,1.0999650072241838,1,861.63,1,18.0,3851.83,5.22,5285.25,0
B_000137,52,Suburban,Self-Employed,Traditional,555.2722943134777,93.26190118588859,0.0,69.47870727835819,2.5383197510576005,0,411.82,0,18.0,546.97,26.04,1066.02,1
B_000138,18,Suburban,Self-Employed,Thin File,,,,56.56082434749684,,1,1555.14,0,31.0,5421.93,30.42,2173.76,1
B_000139,52,Suburban,Gig Worker,Thin File,,,,55.3861093413698,1.314919125714741,0,15943.71,0,77.0,1289.16,28.26,483.99,1
B_000140,54,Urban,Self-Employed,Traditional,756.8474520216682,89.37392249742761,4.0,78.9732183482351,1.5235372983130426,0,2045.42,1,21.0,3431.27,13.09,1565.56,0
B_000141,64,Suburban,Unemployed,Traditional,708.2852691500134,57.13310814297942,0.0,61.6620566994783,3.636203150373176,0,205.1,1,1.0,782.41,16.31,2777.79,0
B_000142,31,Urban,Salaried,Traditional,541.8163857066806,61.767811524390304,1.0,78.60975458338264,,1,140.48,1,29.0,2548.01,3.44,283.98,0
B_000143,20,Urban,Salaried,Thin File,,,,94.6876259086473,,0,435.64,0,4.0,2753.06,1.55,172.01,0
B_000144,18,Urban,Salaried,Thin File,,,,74.51463668638492,15.771276782531094,0,2902.67,2,65.0,728.77,6.27,543.42,0
B_000145,22,Urban,Salaried,Traditional,597.1606510429656,89.02103617630543,2.0,52.20005324207837,0.8791679357680748,1,1190.12,0,30.0,10191.14,0.07,2452.46,0
B_000146,43,Urban,Salaried,Traditional,652.0256716170886,79.26671178115058,2.0,54.79375944258359,,0,1385.3,1,54.0,1796.31,6.91,2735.54,1
B_000147,31,Suburban,Self-Employed,Traditional,576.0092068022334,46.33903155706441,3.0,57.48518940074745,7.343218796508538,1,79.36,2,135.0,2830.77,36.07,178.47,0
B_000148,56,Suburban,Gig Worker,Traditional,666.3329579506816,58.783513013512504,2.0,65.30867505937442,4.866415229706613,0,3285.13,1,10.0,1127.14,41.75,8677.04,0
B_000149,44,Rural,Self-Employed,Traditional,692.0094373887858,79.70547902819848,2.0,77.36335081696181,,1,2026.79,1,28.0,2876.78,40.71,3161.35,0
B_000150,26,Urban,Salaried,Traditional,653.2282273092841,74.37519664417007,3.0,69.63739446998815,1.6639129837202367,0,2914.06,0,133.0,1700.88,7.6,1146.09,0
B_000151,32,Urban,Salaried,Thin File,,,,73.07562172494724,3.3924909921133555,0,1057.34,1,227.0,2638.18,4.0,263.12,0
B_000152,32,Urban,Salaried,Thin File,,,,77.20995709565219,3.007227372620882,2,665.21,0,68.0,7827.48,4.89,2326.54,1
B_000153,43,Rural,Salaried,Traditional,706.9793169202567,59.80649438358162,2.0,88.20564472607047,2.470135034485367,1,3408.41,1,14.0,7610.75,4.44,324.47,0
B_000154,59,Suburban,Salaried,Traditional,526.0436322509638,85.98014413434859,3.0,65.27849283232256,0.04787559200222678,1,7419.23,0,179.0,1182.19,1.64,530.78,0
B_000155,30,Suburban,Salaried,Thin File,,,,76.49612100326306,,0,4420.78,0,81.0,15761.97,2.69,704.97,0
B_000156,68,Urban,Salaried,Traditional,536.0675340774031,87.89352905992054,5.0,76.22746841166109,1.098330895376071,0,3814.29,1,118.0,9351.05,7.94,906.74,0
B_000157,49,Suburban,Gig Worker,Traditional,684.0403912389029,86.36318854741327,0.0,76.54828531970465,0.18887887653423968,0,3241.04,4,39.0,1281.37,23.61,2273.41,0
B_000158,56,Urban,Salaried,Traditional,679.5104796329802,82.24805788407106,2.0,65.65451898190884,2.4629356751953297,0,401.23,2,58.0,2997.0,8.27,784.62,0
B_000159,66,Suburban,Unemployed,Traditional,712.2675974142832,64.92317208848355,3.0,55.077620870024845,0.39289278980905995,0,393.93,0,15.0,3518.5,33.3,1771.84,0
B_000160,69,Rural,Salaried,Traditional,748.9828573441274,86.55036124527466,2.0,86.18179340223406,0.4841232609042959,1,223.2,1,128.0,1431.05,7.14,119.96,0
B_000161,49,Rural,Unemployed,Thin File,,,,61.555842299859606,14.02220314411705,1,321.1,0,12.0,1557.59,4.03,5147.44,0
B_000162,21,Suburban,Salaried,Thin File,,,,73.18991659844339,4.826156109538674,1,853.96,0,9.0,6947.09,9.0,5249.15,0
B_000163,47,Urban,Salaried,Thin File,,,,63.0566573865984,3.4734215377708293,1,1261.17,1,21.0,3719.98,4.4,1880.79,1
B_000164,54,Rural,Salaried,Traditional,840.8752707648043,96.79227172823606,3.0,70.0602832190391,1.4020783862616422,2,2998.18,1,96.0,7423.14,2.55,1824.14,1
B_000165,40,Suburban,Gig Worker,Thin File,,,,60.02202748292663,1.4916977389188673,0,2469.55,1,116.0,4989.52,33.17,934.28,0
B_000166,56,Urban,Salaried,Traditional,613.492148775895,75.88629788530343,3.0,84.29434592953383,,0,2799.81,1,35.0,8876.68,9.94,1600.29,0
B_000167,62,Urban,Salaried,Traditional,673.6239098848531,90.64323059892715,2.0,75.37264760900058,0.39076290008139736,1,1305.54,1,21.0,2389.19,1.01,489.84,0
B_000168,32,Urban,Gig Worker,Traditional,649.3067247748751,96.47253131972717,1.0,76.49991881844682,,1,2809.13,1,16.0,3231.61,5.13,889.53,0
B_000169,60,Urban,Salaried,Traditional,585.8833474294277,88.53913408850826,6.0,83.90146797624595,1.6832986303904038,0,583.31,2,26.0,823.14,9.29,1310.64,0
B_000170,46,Urban,Salaried,Traditional,749.5283350565606,87.17979616500855,2.0,36.896615080921705,,1,817.68,1,19.0,645.7,3.66,155.39,0
B_000171,53,Suburban,Salaried,Traditional,726.748204662029,71.6129908127565,1.0,70.01540326828143,,0,4998.12,0,35.0,5326.11,7.73,6219.95,0
